VisitDate,TransponderHexCode,UniqueFeederCount,AvgTemp_C,Temp_stnd_C,Sex,AgeBin,Age_Sex,VisitCount,Age
1/9/23,01103FB7D9,1,-8.4,-0.5935253,Male,0,0Male,79,0
1/10/23,01103FB7D9,1,-8.2,-0.579393746,Male,0,0Male,87,0
1/11/23,01103FB7D9,1,-7.2,-0.508735972,Male,0,0Male,68,0
1/12/23,01103FB7D9,1,-12.6,-0.890287951,Male,0,0Male,97,0
1/13/23,01103FB7D9,1,-13.1,-0.925616838,Male,0,0Male,87,0
1/14/23,01103FB7D9,1,-10.7,-0.75603818,Male,0,0Male,89,0
1/15/23,01103FB7D9,1,-8.8,-0.62178841,Male,0,0Male,86,0
1/16/23,01103FB7D9,1,-5.4,-0.381551979,Male,0,0Male,77,0
1/17/23,01103FB7D9,1,-8.8,-0.62178841,Male,0,0Male,95,0
1/18/23,01103FB7D9,1,-13.4,-0.94681417,Male,0,0Male,89,0
1/19/23,01103FB7D9,1,-10.6,-0.748972403,Male,0,0Male,76,0
1/20/23,01103FB7D9,1,-4.1,-0.289696873,Male,0,0Male,82,0
1/21/23,01103FB7D9,1,0.4,0.02826311,Male,0,0Male,73,0
1/22/23,01103FB7D9,1,0.5,0.035328887,Male,0,0Male,77,0
1/23/23,01103FB7D9,1,-2.8,-0.197841767,Male,0,0Male,77,0
1/24/23,01103FB7D9,1,-0.1,-0.007065777,Male,0,0Male,78,0
1/25/23,01103FB7D9,1,-0.7,-0.049460442,Male,0,0Male,87,0
1/26/23,01103FB7D9,1,4.7,0.332091537,Male,0,0Male,66,0
1/27/23,01103FB7D9,1,-6.7,-0.473407085,Male,0,0Male,122,0
1/28/23,01103FB7D9,1,-16.8,-1.187050601,Male,0,0Male,115,0
1/29/23,01103FB7D9,1,-17.1,-1.208247933,Male,0,0Male,108,0
1/30/23,01103FB7D9,1,-11.7,-0.826695954,Male,0,0Male,97,0
1/31/23,01103FB7D9,1,-10.3,-0.727775071,Male,0,0Male,126,0
2/1/23,01103FB7D9,1,-15.5,-1.095195495,Male,0,0Male,110,0
2/2/23,01103FB7D9,1,-16.9,-1.194116378,Male,0,0Male,85,0
2/3/23,01103FB7D9,1,-6.3,-0.445143975,Male,0,0Male,89,0
2/4/23,01103FB7D9,1,-1.8,-0.127183993,Male,0,0Male,70,0
2/5/23,01103FB7D9,1,-2,-0.141315548,Male,0,0Male,69,0
2/6/23,01103FB7D9,1,-0.7,-0.049460442,Male,0,0Male,57,0
2/7/23,01103FB7D9,1,0.5,0.035328887,Male,0,0Male,86,0
2/8/23,01103FB7D9,1,-3.2,-0.226104876,Male,0,0Male,97,0
2/9/23,01103FB7D9,1,-6.1,-0.431012421,Male,0,0Male,78,0
2/10/23,01103FB7D9,1,-1.9,-0.13424977,Male,0,0Male,61,0
2/11/23,01103FB7D9,1,-2.9,-0.204907544,Male,0,0Male,69,0
2/12/23,01103FB7D9,1,-2.6,-0.183710212,Male,0,0Male,110,0
2/13/23,01103FB7D9,1,0,0,Male,0,0Male,71,0
2/14/23,01103FB7D9,1,-10,-0.706577739,Male,0,0Male,128,0
2/24/23,01103FB7D9,1,-26.8,-1.89362834,Male,0,0Male,104,0
2/25/23,01103FB7D9,1,-14.4,-1.017471944,Male,0,0Male,121,0
2/26/23,01103FB7D9,1,-13.2,-0.932682615,Male,0,0Male,116,0
2/27/23,01103FB7D9,1,-10.9,-0.770169735,Male,0,0Male,100,0
2/28/23,01103FB7D9,1,-13.7,-0.968011502,Male,0,0Male,131,0
1/9/23,01103FC12B,1,-8.4,-0.5935253,Female,1,1Female,118,1
1/10/23,01103FC12B,1,-8.2,-0.579393746,Female,1,1Female,117,1
